PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
Clientes,800237456,800237456 - Emtelco Sas,N8220 - Actividades de centros de llamadas (call center),14029,$2619890,$523978,$476162,$102204,$622509
Clientes,800211401,800211401 - Outsourcing Servicios Informaticos Sas Bic,N8220 - Actividades de centros de llamadas (call center),6790,$742480,$247493,$72992,$31837,$160518
prospectos,900155107,900155107 - Cencosud Colombia S.A.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5000,$21299462,$4259892,$4623077,$543099,$19581659
prospectos,830067394,830067394 - Mercadolibre Colombia Ltda,J6209 - Otras actividades de tecnologías de información y actividades de servicios informáticos,4000,$5117837,$1279459,$1092832,$302672,$122906
prospectos,890101272,890101272 - Sempertex De Colombia S.A.,C2219 - Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,4000,$120116,$120116,$64469,$33429,$58113
Clientes,900801459,900801459 - Experts Colombia Sas,N8220 - Actividades de centros de llamadas (call center),3810,$1136600,$227320,$153797,$27082,$74571
prospectos,900130460,900130460 - Epago De Colombia Sa,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,3500,$301043,$60209,$43716,$184,$117054
prospectos,900541359,900541359 - Win Sports S A S,J6020 - Actividades de programación y transmisión de televisión,3500,$1424733,$284947,$154487,$438629,$476274
Clientes,900341086,900341086 - Comercial Nutresa S.A.S,G4610 - Comercio al por mayor a cambio de una retribución o por contrata,3000,$4141570,$828314,$3111840,,$432593
prospectos,860050420,860050420 - Ventas Y Servicios Sa,J6399 - Otras actividades de servicios de información n.c.p.,2550,$1601409,$320282,$200203,$38512,$245092
Clientes,901180401,901180401 - Solvo Sas,N8220 - Actividades de centros de llamadas (call center),2522,$637023,$212341,$227571,$39,$4800
Clientes,900596020,900596020 - Getcom Colombia S.A.S.,N8220 - Actividades de centros de llamadas (call center),2502,$379756,$75951,$123334,$18861,$178453
prospectos,900943243,900943243 - Suramerica Comercial Sas,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",2500,$7974396,$1993599,$1603259,$545834,$2315611
Clientes,901342879,901342879 - Apex America Colombia Sas,N8220 - Actividades de centros de llamadas (call center),2500,$249081,$62270,$146498,$44586,$6435
Clientes,900964443,900964443 - Onelink Sas,N8220 - Actividades de centros de llamadas (call center),2475,$481916,$96383,$82200,$4560,$137757
Clientes,900081360,900081360 - Servicios Nutresa S.A.S.,M7010 - Actividades de administración empresarial,2300,$241754,$48351,$138171,,$58956
prospectos,900420814,900420814 - Hitss Colombia Sas,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",2105,$1289268,$257854,$276032,$58869,$199919
Clientes,890901672,890901672 - Crystal Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",2001,$4442472,$888494,$2114792,$1011394,$1751209
prospectos,830033825,830033825 - Smart Trainig Society Sas,P8551 - Formación para el trabajo,2000,$577397,$144349,$166219,$15625,$65935
prospectos,830096374,830096374 - Indra Sistemas S.A Sucursal Colombia,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",2000,$409720,$81944,$128405,$5057,$120687
prospectos,830126395,830126395 - Americas Business Process Services S.A.,N8220 - Actividades de centros de llamadas (call center),2000,$1031292,$206258,$111808,$52296,$143504
prospectos,830131993,830131993 - Efectivo Ltda,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,2000,$1563809,$390952,$415869,$154989,$724206
Clientes,830511773,830511773 - Brm Sas,M7310 - Publicidad,2000,$490394,$122599,$0,$47385,$122194
prospectos,900103457,900103457 - Tcs Solution Center Sucursal Colombia,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,2000,$1673237,$334647,$551974,$58231,$664058
prospectos,900347449,900347449 - Logistica Laboral Sas Bic,N7820 - Actividades de empresas de servicios temporales,2000,$113679,$37893,$7145,$5815,$7637
prospectos,901148432,901148432 - Igt Services And Technologies Colombia Sas,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,2000,$404223,$134741,$283940,$16,$131855
prospectos,900042474,900042474 - Telcos Ingenieria Sa,F4321 - Instalaciones eléctricas,1891,$570738,$142685,$93404,$119225,$66703
prospectos,800133032,800133032 - Synerjoy Bpo Sas,N8291 - Actividades de agencias de cobranza y oficinas de calificación crediticia,1850,$45645,$45645,$10867,$8446,$8686
prospectos,900757756,900757756 - Gsg- Gestion De Servicios Globales S.A.S.,N8220 - Actividades de centros de llamadas (call center),1800,$842658,$168532,$0,$303891,$417190
prospectos,860067479,860067479 - Serviaseo S.A.,N8129 - Otras actividades de limpieza de edificios e instalaciones industriales,1620,$100911,$25228,$10735,$5659,$55577
prospectos,860053930,"860053930 - Sierracol Energy Arauca, Llc.",B0610 - Extracción de petróleo crudo,1600,$8258719,$1651744,$5472910,$33633,$1608499
prospectos,900843898,900843898 - Rappi Sas,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",1556,$2259482,$451896,$1872989,$267341,$256697
Clientes,830040709,830040709 - Comercializadora Nacional Sas Ltda,G4610 - Comercio al por mayor a cambio de una retribución o por contrata,1500,$167556,$33511,$27280,$176271,$36392
prospectos,860002576,860002576 - General De Equipos De Colombia S.A.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,1500,$3508651,$877163,$531312,$860023,$1068118
prospectos,890900076,890900076 - Cine Colombia S.A.S.,I5612 - Expendio por autoservicio de comidas preparadas,1500,$1360531,$340133,$330476,$467649,$1768914
Clientes,890920304,890920304 - Pepsico Alimentos Colombia Ltda,C1089 - Elaboración de otros productos alimenticios n.c.p.,1500,$7323346,$1830837,$2270437,$551408,$943864
prospectos,900334291,900334291 - Vsi Global Solutions S.A.S.,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,1500,$2203,$734,$1277,$5793,$5386
Clientes,900478383,900478383 - Softwareone Colombia Sas,J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas,1500,$1690192,$338038,$142650,$248126,($19940)
Clientes,811017000,811017000 - Internacional De Distribuciones De Vestuario De Moda Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",1450,$4548543,$909709,$2097773,$101089,$548258
Clientes,890900317,890900317 - Autotecnica Colombiana Sas,C3091 - Fabricación de motocicletas,1400,$2667298,$533460,$394887,$239470,$680191
Clientes,900409870,900409870 - Disdemotos Sas,"G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios",1400,,,$0,$1144,$771
Clientes,901249413,901249413 - Auteco Mobility Sas,C3091 - Fabricación de motocicletas,1400,$2984880,$746220,$548258,$609369,$470707
prospectos,900483791,900483791 - Jazzplat Colombia S A S,N8220 - Actividades de centros de llamadas (call center),1380,$341206,$68241,$140802,$15053,$73002
prospectos,830040872,830040872 - Actividades De Instalaciones Y Servicios Cobra Sa,F4321 - Instalaciones eléctricas,1374,$393754,$78751,$75293,$23381,$39787
prospectos,900911740,900911740 - Liteyca De Colombia Sas,J6110 - Actividades de telecomunicaciones alámbricas,1360,$181387,$90693,$62942,$18797,$11275
Clientes,811021864,811021864 - Contento Bps S.A,N8220 - Actividades de centros de llamadas (call center),1344,$309389,$77347,$81596,$82005,$134322
Clientes,860079793,860079793 - Ac Nielsen De Colombia Ltda,M7320 - Estudios de mercado y realización de encuestas de opinión pública,1250,$590683,$118137,$302295,,$332636
Clientes,900008653,900008653 - C&C Services Sas,N8220 - Actividades de centros de llamadas (call center),1242,$135727,$33932,$18072,$24202,$38211
prospectos,890941663,890941663 - Distribuidora Pasteur S.A,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",1200,$1864527,$466132,$441838,$8527,$725373
Clientes,800139545,800139545 - La S.A. Sociedad De Apoyo Aeronautico S.A.,H5229 - Otras actividades complementarias al transporte,1159,$647824,$129565,$159854,$30361,$121408
Clientes,811020576,811020576 - Choucair Cardenas Testing S.A,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",1121,$39230,$39230,$8588,$0,$11199
prospectos,890938755,890938755 - Ci Flores De La Vega Sas,A0125 - Cultivo de flor de corte,1100,$401770,$80354,$188324,$60120,$149786
prospectos,901303824,901303824 - Inversiones Mcn Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,1100,$83200,$83200,$12885,$114,$164399
Clientes,830144572,830144572 - Qtech Sas,"G4741 - Comercio al por menor de computadores, equipos periféricos, programas de informática y equipos de telecomunicaciones en establecimientos especializados",1082,$17503,$4376,$10587,$8000,$31200
Clientes,890913319,890913319 - Cesde Sas,P8551 - Formación para el trabajo,1072,$230650,$46130,$68831,$90096,$32465
Clientes,891401858,891401858 - Operadora Avicola Colombia S.A.S.,A0145 - Cría de aves de corral,1001,$2300115,$766705,$496181,$339843,$803751
