PROSPECTOS.Fuente,NIT,Nit-Razon Social,Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU),UT,02.Ingreso Actividades Ordinarias,02.Promedio de Ingreso Actividades Ordinarias,05. Utilidad Bruta,01. Deuda,01.Patrimonio
prospectos,900553170,900553170 - Embotelladora De La Sabana Sas,"C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y otras aguas embotelladas",3000,$5325573,$1065115,$816588,$516403,$3716934
prospectos,804016671,804016671 - Campollo S.A.S,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",2000,$600,$150,$254,$12271,$101036
Clientes,900189181,900189181 - Pepsico Alimentos Z.F. Ltda,C1089 - Elaboración de otros productos alimenticios n.c.p.,1500,$2999820,$599964,$457995,,$1748037
prospectos,800167200,800167200 - Espumas Santafe De Bogota Sas,C3290 - Otras industrias manufactureras n.c.p.,1200,$207785,$103893,$68434,$29332,$98970
prospectos,890208788,890208788 - Unidrogas S.A.S.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",1200,$4001728,$800346,$1221047,$955609,$845265
prospectos,900159239,900159239 - Operacion Y Gestion Integral Sas,J6190 - Otras actividades de telecomunicaciones,1200,$184752,$46188,$21060,$6815,$48264
prospectos,860001999,860001999 - Lucta Grancolombiana Sas,C2029 - Fabricación de otros productos químicos n.c.p.,800,$1000789,$200158,$413583,$3609,$724447
prospectos,860053831,860053831 - Comercial Allan Sas,C1040 - Elaboración de productos lácteos,650,$896036,$224009,$562289,$280581,$120314
prospectos,860029997,860029997 - Laboratorios De Cosmeticos Vogue Sas,"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador",600,$848592,$169718,$34502,$620634,$610192
Clientes,830050856,830050856 - Millenium Bpo Sa,N8220 - Actividades de centros de llamadas (call center),500,$518818,$129704,$80550,$132433,$104698
prospectos,830063800,830063800 - Coval Comercial Sas,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",500,$758012,$189503,$127771,$107178,$76928
prospectos,830511584,830511584 - Proyectos La Fazenda Sa,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,500,$7780,$2593,$0,$4580,$378201
