fuente,nit,nit-razon social,Sector,ut,ventas
Clientes,800237456,800237456 - Emtelco Sas,N8220 - Actividades de centros de llamadas (call center),14029.0,523978
Clientes,800211401,800211401 - Outsourcing Servicios Informaticos Sas Bic,N8220 - Actividades de centros de llamadas (call center),6790.0,247493
prospectos,900155107,900155107 - Cencosud Colombia S.A.,"G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas (alcohólicas y no alcohólicas) o tabaco",5000.0,4259892
prospectos,830067394,830067394 - Mercadolibre Colombia Ltda,J6209 - Otras actividades de tecnologías de información y actividades de servicios informáticos,4000.0,1279459
prospectos,890101272,890101272 - Sempertex De Colombia S.A.,C2219 - Fabricación de formas básicas de caucho y otros productos de caucho n.c.p.,4000.0,120116
Clientes,900801459,900801459 - Experts Colombia Sas,N8220 - Actividades de centros de llamadas (call center),3810.0,227320
prospectos,900130460,900130460 - Epago De Colombia Sa,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,3500.0,60209
prospectos,900541359,900541359 - Win Sports S A S,J6020 - Actividades de programación y transmisión de televisión,3500.0,284947
Clientes,900341086,900341086 - Comercial Nutresa S.A.S,G4610 - Comercio al por mayor a cambio de una retribución o por contrata,3000.0,828314
prospectos,860050420,860050420 - Ventas Y Servicios Sa,J6399 - Otras actividades de servicios de información n.c.p.,2550.0,320282
Clientes,901180401,901180401 - Solvo Sas,N8220 - Actividades de centros de llamadas (call center),2522.0,212341
Clientes,900596020,900596020 - Getcom Colombia S.A.S.,N8220 - Actividades de centros de llamadas (call center),2502.0,75951
prospectos,900943243,900943243 - Suramerica Comercial Sas,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",2500.0,1993599
Clientes,901342879,901342879 - Apex America Colombia Sas,N8220 - Actividades de centros de llamadas (call center),2500.0,62270
Clientes,900964443,900964443 - Onelink Sas,N8220 - Actividades de centros de llamadas (call center),2475.0,96383
Clientes,900081360,900081360 - Servicios Nutresa S.A.S.,M7010 - Actividades de administración empresarial,2300.0,48351
prospectos,900420814,900420814 - Hitss Colombia Sas,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",2105.0,257854
Clientes,890901672,890901672 - Crystal Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",2001.0,888494
prospectos,830033825,830033825 - Smart Trainig Society Sas,P8551 - Formación para el trabajo,2000.0,144349
prospectos,830096374,830096374 - Indra Sistemas S.A Sucursal Colombia,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",2000.0,81944
prospectos,830126395,830126395 - Americas Business Process Services S.A.,N8220 - Actividades de centros de llamadas (call center),2000.0,206258
