fuente,nit,nit-razon social,Sector,ut,ventas
,800000090,800000090 - Ingenieros Servicios Constructivos Sas,F4111 - Construcción de edificios residenciales,,2831
,800000154,800000154 - Construcciones Industriales Y Servicios Super Sas,C2920 - Fabricación de carrocerías para vehículos automotores; fabricación de remolques y semirremolques,,7325
,800000241,800000241 - Cereria El Sagrado Corazon Ltda,C3290 - Otras industrias manufactureras n.c.p.,,12072
,800000268,800000268 - Inversiones Schlegel Donado Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,279
,800000296,800000296 - Zr Ingenieria Sa,F4290 - Construcción de otras obras de ingeniería civil,,89
,800000313,800000313 - Pelanas  Sas,"C3240 - Fabricación de juegos, juguetes y rompecabezas",,4165
,800000393,800000393 - Confeplasticos Sas,C2229 - Fabricación de artículos de plástico n.c.p.,,2388
,800000457,800000457 - Acomedios Publicidad Y Mercadeo Sas,M7310 - Publicidad,,35156
,800000465,800000465 - Inversiones Losfalk S.A.S,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,1484
,800000469,800000469 - Rivera Correa Y Cruz Y Compañia Limitada,G4731 - Comercio al por menor de combustible para automotores,,5759
,800000513,800000513 - Compañia Promotora Nueva Gran América Sas Compañia Promotora Nueva Gran América Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,124
,800000645,800000645 - Suplementos Y Aditivos S.A.,C2021 - Fabricación de plaguicidas y otros productos químicos de uso agropecuario,,3407
,800000750,800000750 - Petrosantander Colombia Gmbh,B0610 - Extracción de petróleo crudo,,199307
,800000755,800000755 - Colombiana De Turismo Y Expresos Sa,H4921 - Transporte de pasajeros,,3390
,800000835,800000835 - Distribuciones Industriales Alipar & Compania Limitada,"G4782 - Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles",,5398
,800000983,800000983 - Mocer Sas,"G4719 - Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general), bebidas (alcohólicas y no alcohólicas) y tabaco",,1963
,800001020,800001020 - Distribuidora De Drogas La Rebaja Principals.A.S,"N7740 - Arrendamiento de propiedad intelectual y productos similares, excepto obras protegidas por derechos de autor",,5551
,800001047,800001047 - Maya Y Bedoya Ltda,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",,17285
,800001075,800001075 - Agropecuaria Vargas Vallejo Y Cia Sas - En Reorganizacion,A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos,,14866
,800001161,800001161 - Inversiones Conavel Y Asociados Sas,"C1410 - Confección de prendas de vestir, excepto prendas de piel",,485
,800001351,800001351 - Danador Sas,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",,334
,800001354,800001354 - La Casa De La Tractomula Ltda,"G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",,9306
,800001650,800001650 - Productos Rank  Sas,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,,864
,800001792,800001792 - Knightsbridge Schools International Bogota Sas,P8530 - Establecimientos que combinan diferentes niveles de educación,,4410
,800002229,800002229 - Optica Iris Sas Bic,G4774 - Comercio al por menor de otros productos nuevos en establecimientos especializados,,3374
,800002448,800002448 - Agroindustrial San Jose Limitada.,A0122 - Cultivo de plátano y banano,,690
,800002538,800002538 - Constructora Digamma Sas,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,258
,800002609,800002609 - Energex S.A,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,,11940
,800002695,800002695 - Instituto Triangulo S.A.,P8551 - Formación para el trabajo,,3068
,800002820,800002820 - Constructora A Cruz Sas,F4112 - Construcción de edificios no residenciales,,16251
,800002981,800002981 - Meltec Sa,L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados,,2018
,800002985,800002985 - Mz Autoservicios S.A,G4731 - Comercio al por menor de combustible para automotores,,6232
